Date,Address,Company,Car Type,"Autonomous engaged (1 = yes, 0 = no)",Time,Weather,Road conditions,Lighting,Unusual Conditions,Stopped/Moving,Other Vehicle,Stopped/moving (Car 2),Damage,Significance,Injury,Expanation,error
4/3/19,"Potrero St and Alameda St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2019,0,20:32,Clear,Dry,Dark-Street lights,No,stopped,,N/A,minor,pedestrian struck vehicle,,other,
7/23/19,"Hyde St and Union St, San Francisco, San Francisco, CA, 94109",Zoox,Toyota Highlander 2016,0,20:50,Clear,Dry,Dark-Street lights,No,stopped,,moving,minor,,,sideswipe,
11/7/19,"24th St and Mission St, San Francisco, San Francisco, CA, 94110",Cruise,Chevrolet Bolt 2020,0,21:10,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human didn’t trust av made wrong correction,,broadside,
5/4/16,"Latham St and Chiquita Ave, Mountain View, Santa Clara, CA, 94040",Waymo,Google 2015,0,21:45,,,,,moving,,N/A,minor,human error strikes median,,other,
11/15/18,"14th St and Van Ness Ave, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2019,0,22:29,Clear,Dry,Dark-Street lights,No,moving,,moving,moderate,,,rear-end,
3/24/19,"11th St and Folsom St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2019,0,22:50,Clear,Dry,Dark-Street lights,No,moving,,moving,moderate,,,sideswipe,
1/28/18,Duboce Ave and Mission St,Cruise,Chevrolet Bolt 2017,0,22:55,,,,,stopped,,stopped,none,road rage,,other,
7/15/19,"14th St and Valencia St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2020,0,23:02,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human didn’t trust av made wrong correction,,sideswipe,
11/22/19,"5th St and Folsom St, San Frnacisco, San Francisco, CA, 94107",Zoox,Toyota Highlander 2016,0,23:11,Clear,Dry,Dark-Street lights,No,moving,,moving,moderate,police chase,,other,
9/15/17,"Potrero St and Division St, South San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2017,0,23:20,,,,,moving,,moving,minor,human made aggressive move clipped av,,sideswipe,
2/26/15,"El Camino Real and View St., Mountain View, Santa Clara, CA, 94040",Waymo,Lexus ,0,,,,,,moving,,moving,none,human error,,broadside,
8/8/16,"Rengstroff Ave and California St, Mountain View, Santa Clara, CA, 94043",Waymo,Google 2015,0,,,,,,moivng,,moving,minor,,,rear-end,
9/27/17,"Intersection Green St and Battery St, San Francisco, San Francisco, CA, 94111",Zoox,Toyota Highlander 2016,0,,,,,,moving,,moving,moderate,human error,,broadside,
1/29/18,"E Reed St and S 2nd St, San Jose, Santa Clara, CA, 95113",Drive AI,Nissan 2016,0,,,,,,moving,,N/A,minor,human error,,other,
