Date,Address,Company,Car Type,"Autonomous engaged (1 = yes, 0 = no)",Time,Weather,Road conditions,Lighting,Unusual Conditions,Stopped/Moving,Other Vehicle,Stopped/moving (Car 2),Damage,Significance,Injury,Expanation,error
8/26/19,"Division St and Bryant St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2020,1,21:14,Clear,Dry,Dark-Street lights,No,moving,,moving,none,human unable to react/anticipate av,,rear-end,non av
2/9/20,"Sickles Ave and Mission St, San Francisco, San Franciso, CA, 94112",Cruise,Chevrolet Bolt 2020,1,21:16,Clear,Dry,Dark-street lights,No,moving,,moving,moderate,human unable to react/anticipate av,,rear-end,non av
11/6/18,"Steiner St and Haight St, San Francisco, San Francisco, CA, 94117",Cruise,Chevrolet Bolt 2019,1,21:16,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,biker hits car,,broadside,non av
1/2/18,Valencia St and 16th St,Cruise,Chevrolet Bolt 2016,1,21:27,,,,,moving,,N/A,minor,pedestrian ran into av,,other,non av
6/27/19,"Bryant St and 10th St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2019,1,21:50,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
7/10/19,"10th St and Market St, San Francisco, San Francisco, CA, 94102",Cruise,Chevrolet Bolt 2020,1,21:59,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human error,,rear-end,non av
11/20/18,"Stockton St and Lombardi St, San Francisco, San Francisco, CA, 94133",Zoox,Toyota Highlander 2016,1,22:04,Clear,Dry,Dark-Street lights,No,stopped,,moving,none,human unable to react/anticipate av,,rear-end,non av
11/13/17,"11 St and Folsom St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2017,1,22:07,,,,,moving,,moving,minor,human error,,rear-end,non av
5/4/19,"Steiner St and Duboce Ave, San Francisco, San Francisco, CA, 94114",Cruise,Chevrolet Bolt 2019,1,22:56,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human error,,broadside,non av
5/2/19,"24th St and Potrero Ave, San Francisco, San Francisco, CA, 94110",Cruise,Chevrolet Bolt 2019,1,23:01,Clear,Dry,Dark-Street lights,No,stopped,,moving,none,human error,,rear-end,non av
